ISIN,date,face_value,security_group,industry,instrument,market_lot,name_of_company,paid_up_value,security_code,security_id,security_name,series,symbol,nse,bse,trading_location
INE148I07381,0,1000000,F ,Housing Finance ,Debentures and Bonds,0,0,0,949657,1055IHFL23,INDIABULLS HOUSING FINANCE Ltd,0,0,0,1,India
INE013A08317,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949669,1019RCL23A,Reliance Capital Ltd,0,0,0,1,India
INE704P07014,0,1000000,F ,Commercial Vehicles,Debentures and Bonds,0,0,0,949686,851CSL2023,Cochin Shipyard Ltd,0,0,0,1,India
INE578A08012,0,6621621.6,F ,Cement & Cement Products,Debentures and Bonds,0,0,0,949702,104HCIL2021,HeidelbergCement  India Ltd,0,0,0,1,India
INE013A08325,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949719,1015RCL2025,Reliance Capital Ltd,0,0,0,1,India
INE028A08059,0,1000000,F ,Banks,Debentures and Bonds,0,0,0,949721,973BOB2023,Bank Of Baroda,0,0,0,1,India
INE721A07GZ4,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949733,1075STFC23C,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE756I08058,0,1000000,F ,Financial Institutions,Debentures and Bonds,0,0,0,949743,1005HDB2023,HDB FINANCIAL SERVICES Ltd,0,0,0,1,India
INE881J08276,0,1000000,F ,Financial Institutions,Debentures and Bonds,0,0,0,949744,1110SREI20,Srei Equipment Finance Ltd,0,0,0,1,India
INE059B07054,0,1000000,F ,Construction & Engineering,Debentures and Bonds,0,0,0,949757,1125SIL2020,Simplex Infrastructures Ltd,0,0,0,1,India
INE681H07086,0,10000000,F ,Realty,Debentures and Bonds,0,0,0,949759,TFSRL,Twenty Five South Realty Ltd,0,0,0,1,India
INE721A07HA5,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949765,1075STFC23D,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE804I08593,0,1000000,F ,Electric Utilities,Debentures and Bonds,0,0,0,949778,12ECLFL2020,ECL Finance Ltd,0,0,0,1,India
INE013A08333,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949783,1019RCL24E,Reliance Capital Ltd,0,0,0,1,India
INE013A08341,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949797,1019RCL2024,Reliance Capital Ltd,0,0,0,1,India
INE013A08358,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949798,1019RCL24B,Reliance Capital Ltd,0,0,0,1,India
INE572F08063,0,1000000,F ,Electric Utilities,Debentures and Bonds,0,0,0,949829,1025RRVPN26,Rajasthan Rajya Vidyut Prasaran Nigam Ltd,0,0,0,1,India
INE849D08TT1,0,1000000,F ,Other Financial Services,Debentures and Bonds,0,0,0,949834,98ISEC2024,ICICI Securities Primary Dealership Ltd,0,0,0,1,India
INE036A07294,0,1000000,F ,Electric Utilities,Debentures and Bonds,0,0,0,949847,115RINFR22A,Reliance Infrastructure Ltd,0,0,0,1,India
INE294A07125,0,1000000,F ,Paper & Paper Products,Debentures and Bonds,0,0,0,949850,1175BIL2024,Ballarpur Industries Ltd.,0,0,0,1,India
INE691I08255,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949852,1035LTINF24,L&T Infrastructure Finance Company Ltd,0,0,0,1,India
INE691I08263,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949856,973LTINF24,L&T Infrastructure Finance Company Ltd,0,0,0,1,India
